,Mean,StdErr,T-Stat,P-Stat,Sig
Constant,0.015235183614666466,0.02049163846086203,2.557301459260227,0.010774996772719756,5%
LogSize_-1,-0.0004448772286152394,0.0039856638216597615,-0.4139359306564702,0.679057785943532,NotSig
LogB/M_-1,0.004608788053950628,0.0074945453891515695,4.832850606949192,1.6815214340826306e-06,1%
"Return_-2,-12",0.012226896572059259,0.015671697367453854,2.7596036254033307,0.005950427487254671,1%
"LogIssues_-1,-36",-0.005636422911702903,0.01380201353718038,-1.597059338415612,0.11073923740208215,NotSig
Accruals_Yr-1,-4.294547602541498e-06,6.656240935285643e-05,-0.2939476702644988,0.7688918727999416,NotSig
ROA_Yr-1,-0.0002402019823720074,0.0857257169431206,-0.01298317924361333,0.9896452027161726,NotSig
LogAG_Yr-1,-0.0037674651071127026,0.027170560857380913,-0.9116341177492675,0.3622998414597237,NotSig
