,Constant,LogSize_-1,LogB/M_-1,"Return_-2,-12",Adjusted R2,No. of Firms
2021-03-31,0.07015325494098552,0.0014717908875756787,0.020263716760058337,-0.013327660795787403,0.04638480492918118,923.0
2021-02-28,0.19432620802405104,-0.007976848643367592,0.039267280890772235,0.019391976755425533,0.061897494519908336,1004.0
2021-01-31,0.22089913764309868,-0.01622395251368831,0.0672451089876002,0.29714247988428005,0.0422352506190915,1173.0
2020-12-31,0.1638357182660809,-0.01281028893469089,-0.010293624683158684,-0.015446434561385405,0.013614668488832637,3468.0
2020-11-30,0.2885540406064234,-0.012023289673333059,0.017516353197033447,-0.04558962551037937,0.03288035438104653,3500.0
2020-10-31,0.012084217895801047,0.0012951873203783746,0.009289062653740012,-0.009716012006028988,0.006318949933772355,3519.0
2020-09-30,0.012758508578308953,-0.007012999188353139,-0.005010308987835621,0.028502135853691882,0.013851050367365003,3621.0
2020-08-31,0.04253800985292653,0.0015707463442101112,0.013380980657424133,-0.008458991859287111,0.006125106198890173,3631.0
2020-07-31,0.08101872259224029,-0.005880368427820519,-0.0059724285124194984,0.042300487828233625,0.0075971810000077244,3645.0
2020-06-30,0.18813323877890797,-0.01973872758256398,-0.0030838873369339825,-0.010525623587100307,0.030749592688257055,3701.0
2020-05-31,0.09431439930270599,-0.00817028053784808,-0.03357799633604899,-0.01172208335425993,0.025951483676205478,3620.0
2020-04-30,0.25611643970133163,-0.013798799628192377,-0.010500028852497425,-0.037973040473450834,0.016428842134788124,3696.0
2020-03-31,-0.2527374811085964,-0.002991235938817634,-0.050584061585809456,0.005837712858729066,0.04626791101359473,3546.0
2020-02-29,-0.03324017345500632,-0.007448046668764534,-0.005351541165442436,-0.007484440782843051,0.004633954611937385,3564.0
2020-01-31,0.061434247378666804,-0.015367399638771314,-0.027278656053909164,-0.0002910332145713391,0.02205157784609535,3577.0
2019-12-31,0.06460364298654396,-0.0012021495439716887,0.017621352574075374,-0.020151851977714273,0.013838947001782675,3614.0
2019-11-30,-0.002561644576058857,0.003885989310761459,-0.013128117375099136,-0.03693468165643227,0.008890229295057894,3629.0
2019-10-31,-0.0196801221460313,0.004526402142587315,-0.0006374048798522712,0.029989888158859335,0.015054440848842665,3612.0
2019-09-30,-0.013595753503513124,0.008546438193033653,0.03015825812316411,-0.03879589199709098,0.06790766778634849,3685.0
2019-08-31,-0.03678292097256091,-0.0017118310813613621,-0.0019164936615128606,0.053777445692669075,0.01587917601763922,3702.0
2019-07-31,-0.022876134838540244,0.004065497766557137,0.005379586725893735,0.03744639303203884,0.015819584546768017,3706.0
2019-06-30,-0.010257450775298176,0.009841818388491892,-0.0013807267059978777,-0.008184300219582013,0.01954293076378788,3785.0
2019-05-31,-0.040891760773583904,-0.005244015829788744,-0.005279142312619508,0.06908179608884985,0.02191559143347943,3791.0
2019-04-30,-0.019652962876352834,0.006991535473183124,0.004584702727817541,-0.0036508787709576837,0.011441170521382715,3769.0
2019-03-31,-0.01591673356680197,-0.0012338161293952116,-0.01377039057913955,0.0016859521761772188,0.008426496143307038,3573.0
2019-02-28,0.06106638092719879,-0.0042215321817561215,-0.014092153989476306,-0.012822232512828413,0.009956059321968525,3563.0
2019-01-31,0.19630869336356507,-0.011449706299840039,-0.010802264335408504,-0.09029679390839902,0.058629535108306485,3598.0
2018-12-31,-0.16599120066785958,0.008123141858180739,0.005059497783837521,0.03503034763433324,0.0280491475090886,3643.0
2018-11-30,-0.08029494373509817,0.011654920385301158,-0.0030996594970641314,-0.004422429074665561,0.032815674562184816,3659.0
2018-10-31,-0.1004848467639031,0.003651596702823274,0.021154540827930335,0.008768718231621371,0.019303355068079564,3648.0
2018-09-30,-0.03283167371975585,0.0019359132571183106,-0.002500718696221198,-0.009216101464923711,0.001466035012700928,3718.0
2018-08-31,0.030396203550346414,-0.0038553189938835227,-0.020210969764516584,0.029442320309021653,0.026988556758758664,3734.0
2018-07-31,-0.04527405911143753,0.008540659689825904,0.006479029149352681,0.006392799211710928,0.024490146869729168,3746.0
2018-06-30,0.008964483228607632,-0.000429086214503307,-0.0017723372384183377,-0.015931922011615002,0.0013880139880501075,3801.0
2018-05-31,0.08900422724158351,-0.008595609022993108,-0.01521582923698869,0.0331597559169833,0.02458068210430875,3798.0
2018-04-30,0.009048777845230893,0.0013097731205767445,0.009763890860308957,0.0010568080070717167,0.00425913686814916,3798.0
2018-03-31,0.01080099242525118,-0.0008152701363452769,-0.004008010623102644,-0.010000358289983233,0.0003166694586672625,3672.0
2018-02-28,-0.042687843147861095,-0.000762641365551047,-0.0023872754315928417,0.014175214675667533,0.003143254220180469,3660.0
2018-01-31,0.019498374965724874,0.00033132929650362504,-0.004770391505596248,0.002864508734791743,0.0006288869721505774,3678.0
2017-12-31,0.017503344809337282,-0.001027275554554151,0.000323978112598895,-0.0031652374649176643,-0.00028693963941783807,3724.0
2017-11-30,0.040528061579926694,-0.0015843368026198133,0.0014775927664807311,-0.008184420858292199,0.0009063001481737221,3719.0
2017-10-31,-0.004430420554333884,0.0013032153988122796,0.004960608145094467,0.028081815483005583,0.007392657690596716,3728.0
2017-09-30,0.1196162249825084,-0.008478980887862914,-1.519489315705186e-05,-0.01797898503354994,0.016681588414556137,3793.0
2017-08-31,-0.035865263734753426,0.002584250665906299,-0.004365670840218267,0.014538019738779604,0.005423960895198365,3807.0
2017-07-31,-0.034368381496321626,0.00642724106188158,0.008622982864974166,0.021024762022426296,0.02529035673039748,3805.0
